entity_name,year,quarter,subquestion,worker_category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AFFIN BANK BERHAD,2025,Quarter 2,A. Malaysian,Clerical Occupations,,,,1006.0,1005.0,1004.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,A. Malaysian,Elementary Occupations,,,,57.0,57.0,57.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,A. Malaysian,Managers,,,,1874.0,1869.0,1854.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,A. Malaysian,Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,A. Malaysian,Professional,,,,3139.0,3126.0,3100.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,A. Malaysian,TOTAL Malaysian,,,,10093.0,10036.0,9975.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,A. Malaysian,Technicians & Associate Professionals,,,,4017.0,3979.0,3960.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Clerical Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Managers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Professional,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,TOTAL Non-Malaysian: Permanent Resident,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Technicians & Associate Professionals,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Clerical Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Managers,,,,1.0,1.0,1.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Professional,,,,5.0,5.0,5.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,TOTAL Non-Malaysian: Non-Permanent Resident,,,,6.0,6.0,6.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Technicians & Associate Professionals,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Clerical Occupations,,,,1006.0,1005.0,1004.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Elementary Occupations,,,,57.0,57.0,57.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Managers,,,,1875.0,1870.0,1855.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Professional,,,,3144.0,3131.0,3105.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),TOTAL Employment,,,,10099.0,10042.0,9981.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),TOTAL Employment: Of which: Shared Islamic Job Function,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Technicians & Associate Professionals,,,,4017.0,3979.0,3960.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 4,A. Malaysian,Clerical Occupations,,,,,,,,,,1006.0,1005.0,1004.0
AFFIN BANK BERHAD,2025,Quarter 4,A. Malaysian,Elementary Occupations,,,,,,,,,,57.0,57.0,57.0
AFFIN BANK BERHAD,2025,Quarter 4,A. Malaysian,Managers,,,,,,,,,,1874.0,1869.0,1854.0
AFFIN BANK BERHAD,2025,Quarter 4,A. Malaysian,Operative Workers,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,A. Malaysian,Professional,,,,,,,,,,3139.0,3126.0,3100.0
AFFIN BANK BERHAD,2025,Quarter 4,A. Malaysian,TOTAL Malaysian,,,,,,,,,,10093.0,10036.0,9975.0
AFFIN BANK BERHAD,2025,Quarter 4,A. Malaysian,Technicians & Associate Professionals,,,,,,,,,,4017.0,3979.0,3960.0
AFFIN BANK BERHAD,2025,Quarter 4,B(i) Non-Malaysian: Permanent Resident,Clerical Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,B(i) Non-Malaysian: Permanent Resident,Elementary Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,B(i) Non-Malaysian: Permanent Resident,Managers,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,B(i) Non-Malaysian: Permanent Resident,Operative Workers,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,B(i) Non-Malaysian: Permanent Resident,Professional,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,B(i) Non-Malaysian: Permanent Resident,TOTAL Non-Malaysian: Permanent Resident,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,B(i) Non-Malaysian: Permanent Resident,Technicians & Associate Professionals,,,,,,,,,,0.0,0.0,0.0
