entity_name,year,quarter,subquestion,worker_category,Jun
RHB BANK BERHAD,2025,Quarter 2,A. Malaysian,Clerical Occupations,1
RHB BANK BERHAD,2025,Quarter 2,A. Malaysian,Elementary Occupations,1
RHB BANK BERHAD,2025,Quarter 2,A. Malaysian,Managers,12
RHB BANK BERHAD,2025,Quarter 2,A. Malaysian,Operative Workers,12
RHB BANK BERHAD,2025,Quarter 2,A. Malaysian,Professional,1
RHB BANK BERHAD,2025,Quarter 2,A. Malaysian,TOTAL Malaysian,39
RHB BANK BERHAD,2025,Quarter 2,A. Malaysian,Technicians & Associate Professionals,12
RHB BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Clerical Occupations,0
RHB BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Elementary Occupations,0
RHB BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Managers,0
RHB BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Operative Workers,0
RHB BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Professional,0
RHB BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,TOTAL Non-Malaysian: Permanent Resident,0
RHB BANK BERHAD,2025,Quarter 2,B(i) Non-Malaysian: Permanent Resident,Technicians & Associate Professionals,0
RHB BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Clerical Occupations,0
RHB BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Elementary Occupations,0
RHB BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Managers,0
RHB BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Operative Workers,0
RHB BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Professional,0
RHB BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,TOTAL Non-Malaysian: Non-Permanent Resident,0
RHB BANK BERHAD,2025,Quarter 2,B(ii) Non-Malaysian: Non-Permanent Resident,Technicians & Associate Professionals,0
RHB BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Clerical Occupations,1
RHB BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Elementary Occupations,1
RHB BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Managers,12
RHB BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Operative Workers,12
RHB BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Professional,1
RHB BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),TOTAL Employment,39
RHB BANK BERHAD,2025,Quarter 2,Employment = A + B(i) + B(ii),Technicians & Associate Professionals,12
