entity_name,year,quarter,question,subquestion,worker_category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AFFIN BANK BERHAD,2025,Quarter 2,Q4,A. Number of Job Vacancies as at End of the Month,Clerical Occupations,,,,0.0,0.0,4.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,A. Number of Job Vacancies as at End of the Month,Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,A. Number of Job Vacancies as at End of the Month,Managers,,,,57.0,69.0,74.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,A. Number of Job Vacancies as at End of the Month,Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,A. Number of Job Vacancies as at End of the Month,Professional,,,,291.0,353.0,353.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,A. Number of Job Vacancies as at End of the Month,TOTAL Number of Job Vacancies as at end of the month,,,,467.0,548.0,580.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,A. Number of Job Vacancies as at End of the Month,Technicians & Associate Professionals,,,,119.0,126.0,149.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Clerical Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Managers,,,,5200.0,32500.0,17700.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Professional,,,,119100.0,168000.0,114500.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),TOTAL Minimum Basic Salaries,,,,177300.0,228000.0,191700.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Technicians & Associate Professionals,,,,53000.0,27500.0,59500.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Clerical Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Managers,,,,1.0,4.0,2.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Professional,,,,25.0,29.0,19.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,TOTAL Job Vacancies Due to New Jobs Created,,,,52.0,44.0,42.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Technicians & Associate Professionals,,,,26.0,11.0,21.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month","C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created During the Month",,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Clerical Occupations,,,,0.0,0.0,4.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Managers,,,,15.0,16.0,9.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Professional,,,,78.0,81.0,56.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month","TOTAL Job Vacancies Due to Retirements, Resignations and All Reasons, other than Jobs Created",,,,126.0,130.0,114.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Technicians & Associate Professionals,,,,33.0,33.0,45.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 4,Q4,A. Number of Job Vacancies as at End of the Month,Clerical Occupations,,,,,,,,,,0.0,0.0,4.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,A. Number of Job Vacancies as at End of the Month,Elementary Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,A. Number of Job Vacancies as at End of the Month,Managers,,,,,,,,,,57.0,69.0,74.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,A. Number of Job Vacancies as at End of the Month,Operative Workers,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,A. Number of Job Vacancies as at End of the Month,Professional,,,,,,,,,,291.0,353.0,353.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,A. Number of Job Vacancies as at End of the Month,TOTAL Number of Job Vacancies as at end of the month,,,,,,,,,,467.0,548.0,580.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,A. Number of Job Vacancies as at End of the Month,Technicians & Associate Professionals,,,,,,,,,,119.0,126.0,149.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Clerical Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Elementary Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Managers,,,,,,,,,,5200.0,32500.0,17700.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Operative Workers,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Professional,,,,,,,,,,119100.0,168000.0,114500.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),TOTAL Minimum Basic Salaries,,,,,,,,,,177300.0,228000.0,191700.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Technicians & Associate Professionals,,,,,,,,,,53000.0,27500.0,59500.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Clerical Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Elementary Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Managers,,,,,,,,,,1.0,4.0,2.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Operative Workers,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Professional,,,,,,,,,,25.0,29.0,19.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,TOTAL Job Vacancies Due to New Jobs Created,,,,,,,,,,52.0,44.0,42.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,C(i). Number of Job Vacancies Due to New Jobs Created During the Month,Technicians & Associate Professionals,,,,,,,,,,26.0,11.0,21.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month","C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created During the Month",,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Clerical Occupations,,,,,,,,,,0.0,0.0,4.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Elementary Occupations,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Managers,,,,,,,,,,15.0,16.0,9.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Operative Workers,,,,,,,,,,0.0,0.0,0.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Professional,,,,,,,,,,78.0,81.0,56.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month","TOTAL Job Vacancies Due to Retirements, Resignations and All Reasons, other than Jobs Created",,,,,,,,,,126.0,130.0,114.0
AFFIN BANK BERHAD,2025,Quarter 4,Q4,"C(ii). Number Job Vacancies Due to Retirements, Resignations and All Reasons, other than New Jobs Created during the Month",Technicians & Associate Professionals,,,,,,,,,,33.0,33.0,45.0
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,A. Number of Job Vacancies as at End of the Month,Clerical Occupations,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,A. Number of Job Vacancies as at End of the Month,Elementary Occupations,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,A. Number of Job Vacancies as at End of the Month,Managers,5.0,5.0,5.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,A. Number of Job Vacancies as at End of the Month,Operative Workers,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,A. Number of Job Vacancies as at End of the Month,Professional,9.0,10.0,10.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,A. Number of Job Vacancies as at End of the Month,TOTAL Number of Job Vacancies as at end of the month,25.0,28.0,31.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,A. Number of Job Vacancies as at End of the Month,Technicians & Associate Professionals,11.0,13.0,16.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Clerical Occupations,2100.0,2100.0,2100.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Elementary Occupations,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Managers,39200.0,39200.0,39200.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Operative Workers,0.0,0.0,0.0,,,,,,,,,
AFFIN HWANG INVESTMENT BANK BERHAD,2025,Quarter 1,Q4,B. Minimum Basic Starting Salaries of Job Vacancies during the month (RM),Professional,25200.0,25200.0,25200.0,,,,,,,,,
